Time, %Power
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
12:00:54 PM, 0.000
